Delivery_person_Age,Delivery_person_Ratings,Weatherconditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken,pick_time,distance
20.0,4.7,Sandstorms,Jam,2,Meal,scooter,2.0,No,Urban,18,22,9.22
35.0,4.8,Fog,Medium,0,Drinks,motorcycle,3.0,Yes,Metropolitian,45,18,13.616
34.0,4.8,Fog,Medium,2,Snack,scooter,2.0,No,Metropolitian,38,17,11.903
33.0,4.7,Sunny,High,1,Buffet,motorcycle,2.0,No,Metropolitian,17,12,6.218
32.0,4.9,Sunny,Jam,2,Buffet,scooter,1.0,No,Metropolitian,15,21,7.648
30.0,4.9,Windy,Low,1,Meal,scooter,2.0,No,Metropolitian,20,23,7.653
36.0,4.9,Stormy,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,49,18,19.916
25.0,4.8,Sunny,Jam,0,Snack,motorcycle,2.0,No,Metropolitian,20,20,19.76
22.0,4.7,Stormy,Medium,1,Snack,motorcycle,2.0,No,Urban,18,18,10.867
26.0,4.9,Cloudy,High,2,Drinks,motorcycle,2.0,No,Metropolitian,22,13,6.117
29.0,4.8,Sunny,Jam,1,Meal,motorcycle,2.0,No,Metropolitian,24,21,19.673
39.0,4.4,Windy,High,1,Snack,scooter,2.0,No,Urban,31,13,5.953
32.0,4.2,Stormy,Low,0,Buffet,motorcycle,1.0,No,Urban,23,11,3.074
25.0,4.7,Sunny,Jam,1,Snack,scooter,1.0,No,Metropolitian,12,22,10.602
31.0,5.0,Stormy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,36,19,10.255
28.0,4.1,Sandstorms,Low,0,Snack,motorcycle,2.0,No,Metropolitian,27,23,4.528
24.0,4.7,Sunny,Low,0,Meal,motorcycle,2.0,No,Metropolitian,26,23,10.602
35.0,4.3,Stormy,Medium,2,Drinks,motorcycle,2.0,No,Metropolitian,33,15,6.209
33.0,4.7,Stormy,Jam,0,Drinks,motorcycle,2.0,No,Metropolitian,43,19,9.088
31.0,4.1,Stormy,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,39,20,20.254
34.0,4.6,Stormy,Low,2,Drinks,motorcycle,2.0,No,Metropolitian,18,22,10.427
33.0,4.9,Sunny,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,24,24,16.83
35.0,4.6,Sunny,Medium,2,Meal,motorcycle,2.0,No,Metropolitian,18,18,4.477
32.0,4.0,Sandstorms,Jam,2,Buffet,scooter,2.0,No,Metropolitian,34,19,7.863
33.0,4.5,Sandstorms,Jam,1,Drinks,scooter,2.0,No,Metropolitian,35,20,14.022
20.0,4.7,Sandstorms,Low,1,Snack,scooter,1.0,No,Urban,18,23,12.435
32.0,4.1,Sandstorms,Jam,2,Meal,scooter,2.0,No,Metropolitian,38,20,11.008
39.0,4.7,Windy,Low,1,Drinks,motorcycle,2.0,No,Metropolitian,21,22,19.883
29.0,4.7,Windy,Medium,2,Drinks,motorcycle,1.0,No,Metropolitian,29,19,16.66
24.0,4.9,Sandstorms,Low,2,Buffet,scooter,1.0,No,Urban,10,22,4.658
33.0,5.0,Sandstorms,Medium,2,Drinks,motorcycle,2.0,No,Metropolitian,34,17,9.088
39.0,4.8,Windy,Medium,1,Drinks,scooter,1.0,No,Metropolitian,30,19,7.448
38.0,4.4,Stormy,Jam,1,Buffet,motorcycle,2.0,No,Metropolitian,34,20,9.313
22.0,4.9,Sandstorms,Medium,0,Snack,motorcycle,2.0,No,Metropolitian,25,18,13.768
21.0,4.6,Windy,Jam,2,Drinks,scooter,1.0,No,Metropolitian,17,20,9.348
24.0,4.7,Windy,Medium,2,Snack,scooter,2.0,No,Metropolitian,33,15,6.232
27.0,4.7,Cloudy,Medium,0,Drinks,motorcycle,2.0,No,Metropolitian,27,18,7.65
24.0,4.8,Windy,High,1,Drinks,scooter,2.0,No,Metropolitian,23,12,6.209
35.0,4.5,Fog,Low,2,Meal,scooter,2.0,No,Metropolitian,17,22,7.79
29.0,4.9,Cloudy,Low,0,Snack,motorcycle,1.0,No,Urban,21,23,12.464
33.0,4.4,Stormy,Medium,0,Meal,motorcycle,2.0,No,Metropolitian,44,17,12.58
23.0,4.5,Sandstorms,Jam,1,Snack,scooter,1.0,No,Urban,20,19,4.597
35.0,4.2,Sandstorms,Low,0,Buffet,motorcycle,2.0,No,Metropolitian,22,22,4.592
39.0,4.7,Stormy,Jam,2,Buffet,scooter,2.0,No,Metropolitian,28,22,9.435
21.0,4.9,Windy,Low,2,Drinks,scooter,2.0,No,Urban,11,23,12.435
34.0,4.7,Fog,Low,0,Drinks,motorcycle,2.0,No,Metropolitian,20,10,1.509
29.0,4.1,Fog,Medium,1,Meal,scooter,2.0,No,Metropolitian,38,19,19.916
37.0,4.1,Stormy,Jam,2,Drinks,scooter,2.0,No,Urban,44,22,16.723
21.0,5.0,Fog,Medium,2,Drinks,motorcycle,3.0,No,Metropolitian,37,17,19.619
29.0,4.6,Stormy,Medium,1,Buffet,scooter,2.0,No,Metropolitian,19,18,10.415
24.0,4.6,Sandstorms,Low,2,Snack,scooter,1.0,No,Metropolitian,16,8,3.029
22.0,4.6,Sunny,Jam,1,Meal,scooter,2.0,No,Metropolitian,17,21,9.314
28.0,4.6,Sandstorms,Medium,1,Drinks,scooter,1.0,No,Metropolitian,19,18,16.385
32.0,4.7,Fog,Medium,1,Drinks,motorcycle,1.0,No,Metropolitian,16,17,4.61
24.0,4.9,Sunny,Low,1,Snack,motorcycle,2.0,No,Metropolitian,18,9,3.02
20.0,4.5,Windy,Low,0,Snack,motorcycle,2.0,No,Metropolitian,18,23,9.176
33.0,4.6,Sunny,Jam,2,Buffet,scooter,1.0,No,Metropolitian,29,19,10.713
37.0,4.8,Sunny,Low,1,Meal,scooter,2.0,No,Urban,29,22,16.822
35.0,4.9,Sandstorms,High,1,Buffet,motorcycle,1.0,No,Urban,29,11,3.065
27.0,4.9,Windy,Medium,0,Buffet,motorcycle,2.0,No,Metropolitian,24,18,13.681
25.0,4.5,Stormy,Medium,2,Snack,motorcycle,2.0,No,Urban,24,18,9.176
38.0,4.0,Sandstorms,Jam,0,Buffet,motorcycle,2.0,No,Metropolitian,35,21,7.601
30.0,4.7,Fog,Low,2,Snack,motorcycle,1.0,No,Metropolitian,17,23,4.591
35.0,5.0,Cloudy,Low,2,Snack,motorcycle,2.0,No,Metropolitian,17,11,3.105
25.0,4.7,Sunny,Medium,0,Meal,motorcycle,2.0,No,Metropolitian,15,18,10.866
33.0,4.8,Fog,Jam,1,Drinks,scooter,3.0,Yes,Urban,40,22,19.762
28.0,4.9,Sandstorms,Medium,1,Meal,scooter,2.0,No,Metropolitian,25,18,4.469
38.0,3.8,Fog,Low,2,Drinks,scooter,2.0,No,Metropolitian,31,23,10.684
34.0,4.9,Sandstorms,Low,1,Meal,motorcycle,2.0,No,Metropolitian,27,9,1.529
31.0,4.9,Sunny,Low,1,Buffet,scooter,2.0,No,Urban,17,10,1.513
35.0,4.3,Stormy,Low,0,Meal,motorcycle,2.0,No,Urban,24,8,2.98
25.0,4.7,Cloudy,Low,0,Buffet,motorcycle,2.0,No,Metropolitian,17,9,3.053
20.0,4.9,Sunny,High,2,Meal,scooter,2.0,No,Metropolitian,19,12,1.529
27.0,4.7,Sandstorms,Jam,1,Snack,motorcycle,2.0,No,Metropolitian,23,21,12.42
21.0,4.6,Cloudy,Medium,2,Drinks,motorcycle,2.0,No,Metropolitian,28,18,20.852
23.0,4.8,Fog,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,20,17,7.449
32.0,4.7,Cloudy,Medium,1,Drinks,motorcycle,2.0,No,Urban,16,18,4.537
21.0,4.8,Sandstorms,Low,2,Snack,scooter,1.0,No,Metropolitian,19,8,1.53
31.0,4.0,Stormy,Jam,0,Buffet,motorcycle,2.0,No,Metropolitian,36,20,10.587
32.0,4.7,Fog,Low,2,Snack,scooter,2.0,No,Urban,11,9,1.553
33.0,4.9,Cloudy,Medium,2,Meal,scooter,2.0,No,Metropolitian,30,18,13.973
22.0,4.8,Sandstorms,Medium,2,Meal,scooter,2.0,No,Metropolitian,29,16,6.232
20.0,4.6,Sandstorms,Jam,1,Snack,scooter,1.0,No,Urban,16,21,14.023
23.0,4.9,Fog,Medium,2,Snack,scooter,2.0,No,Metropolitian,30,18,10.428
21.0,4.6,Cloudy,Medium,1,Meal,motorcycle,2.0,No,Metropolitian,31,18,16.477
28.0,4.7,Cloudy,Low,2,Drinks,scooter,2.0,No,Urban,21,23,13.631
25.0,4.4,Cloudy,Jam,2,Meal,scooter,3.0,Yes,Metropolitian,42,19,19.883
32.0,4.6,Cloudy,Low,1,Snack,motorcycle,1.0,No,Metropolitian,19,23,7.601
39.0,5.0,Sandstorms,High,1,Meal,scooter,2.0,No,Metropolitian,30,12,6.29
33.0,4.9,Stormy,Low,2,Buffet,scooter,1.0,No,Metropolitian,26,10,3.091
34.0,4.6,Windy,Low,1,Buffet,scooter,2.0,No,Metropolitian,21,9,2.93
31.0,4.4,Sandstorms,Jam,1,Drinks,motorcycle,2.0,No,Metropolitian,36,19,10.865
33.0,4.9,Fog,Medium,2,Snack,scooter,2.0,No,Urban,16,17,7.763
28.0,4.9,Sandstorms,Medium,2,Buffet,scooter,1.0,No,Urban,29,18,20.207
28.0,4.7,Cloudy,Jam,0,Drinks,motorcycle,2.0,No,Semi-Urban,52,20,19.975
29.0,4.6,Sandstorms,Medium,1,Buffet,motorcycle,1.0,No,Metropolitian,20,19,11.008
30.0,4.3,Sandstorms,Medium,0,Buffet,motorcycle,2.0,No,Metropolitian,36,18,10.279
38.0,4.9,Sunny,Low,1,Snack,scooter,1.0,No,Metropolitian,23,22,12.162
27.0,4.6,Windy,Jam,2,Snack,scooter,2.0,No,Metropolitian,22,19,11.905
39.0,5.0,Fog,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,54,20,10.594
28.0,4.9,Sunny,Jam,2,Snack,scooter,2.0,No,Metropolitian,20,20,13.972
32.0,4.5,Stormy,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,26,17,7.863
30.0,4.7,Windy,Medium,0,Meal,motorcycle,2.0,No,Metropolitian,25,18,4.541
20.0,4.9,Fog,High,1,Buffet,motorcycle,2.0,No,Metropolitian,27,13,6.147
36.0,4.8,Sunny,Medium,2,Snack,motorcycle,2.0,No,Urban,24,18,16.723
28.0,5.0,Stormy,High,0,Drinks,motorcycle,2.0,No,Metropolitian,31,13,6.147
36.0,4.4,Windy,Medium,1,Meal,motorcycle,3.0,No,Metropolitian,39,18,10.57
35.0,4.7,Windy,Jam,1,Meal,scooter,2.0,No,Metropolitian,25,20,9.121
32.0,3.6,Windy,Jam,2,Drinks,scooter,2.0,No,Metropolitian,36,20,10.868
27.0,4.8,Stormy,Low,1,Buffet,motorcycle,1.0,No,Urban,11,23,10.866
24.0,4.8,Fog,Low,2,Buffet,scooter,2.0,No,Urban,18,23,7.772
29.0,4.6,Stormy,Low,2,Drinks,scooter,2.0,No,Metropolitian,17,24,4.47
39.0,4.9,Stormy,Jam,2,Drinks,scooter,2.0,No,Metropolitian,30,21,9.075
20.0,4.7,Windy,Jam,1,Snack,scooter,2.0,No,Metropolitian,18,21,20.181
23.0,4.7,Windy,Medium,2,Meal,motorcycle,2.0,No,Metropolitian,27,18,10.906
32.0,4.3,Stormy,Jam,2,Snack,scooter,1.0,No,Metropolitian,34,21,12.241
38.0,4.9,Sandstorms,Low,1,Buffet,scooter,1.0,No,Metropolitian,23,22,14.022
29.0,4.9,Cloudy,Jam,1,Snack,scooter,2.0,No,Metropolitian,39,19,11.918
30.0,4.5,Windy,Medium,2,Snack,scooter,2.0,No,Urban,28,16,5.959
33.0,4.7,Windy,Jam,0,Buffet,motorcycle,3.0,No,Metropolitian,37,21,17.074
21.0,4.7,Fog,Medium,0,Meal,motorcycle,1.0,No,Urban,25,15,6.147
23.0,4.5,Sandstorms,High,1,Drinks,scooter,2.0,No,Metropolitian,22,13,6.218
33.0,4.9,Cloudy,Medium,0,Meal,motorcycle,2.0,No,Urban,34,15,6.038
39.0,4.6,Sandstorms,Medium,1,Buffet,scooter,1.0,No,Metropolitian,20,18,10.602
34.0,4.7,Fog,Medium,1,Meal,motorcycle,2.0,No,Metropolitian,41,19,14.153
21.0,5.0,Cloudy,Low,0,Drinks,motorcycle,2.0,No,Metropolitian,20,23,12.21
37.0,4.8,Fog,Medium,1,Snack,scooter,2.0,Yes,Metropolitian,41,18,12.117
33.0,3.6,Stormy,Jam,2,Drinks,scooter,2.0,No,Metropolitian,32,19,19.619
26.0,4.8,Fog,Low,2,Drinks,motorcycle,1.0,No,Metropolitian,22,22,13.631
20.0,4.6,Fog,Low,2,Buffet,motorcycle,1.0,No,Metropolitian,14,24,9.435
22.0,4.5,Fog,Low,0,Meal,motorcycle,2.0,No,Metropolitian,20,8,1.513
38.0,4.9,Sandstorms,Low,2,Snack,motorcycle,2.0,No,Metropolitian,28,23,13.788
23.0,4.5,Sandstorms,Low,1,Snack,motorcycle,2.0,No,Metropolitian,17,23,12.074
27.0,4.8,Sunny,Jam,1,Snack,motorcycle,2.0,No,Urban,11,20,9.363
28.0,5.0,Cloudy,Jam,2,Meal,motorcycle,1.0,No,Metropolitian,31,20,4.465
22.0,4.7,Sandstorms,Medium,1,Snack,scooter,2.0,No,Metropolitian,29,18,9.315
35.0,4.7,Stormy,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,34,22,9.316
25.0,4.6,Fog,Low,1,Snack,scooter,1.0,No,Urban,11,10,3.019
25.0,5.0,Sunny,Jam,1,Buffet,motorcycle,2.0,No,Urban,16,22,10.425
30.0,4.6,Fog,Medium,2,Drinks,scooter,2.0,No,Metropolitian,30,18,20.443
36.0,5.0,Windy,High,0,Meal,motorcycle,1.0,No,Urban,49,13,6.209
25.0,4.7,Fog,Low,2,Drinks,scooter,2.0,No,Metropolitian,25,22,10.881
33.0,4.3,Sandstorms,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,48,21,13.828
24.0,4.7,Sandstorms,Low,0,Buffet,motorcycle,2.0,No,Metropolitian,15,24,12.1
21.0,4.8,Cloudy,Jam,0,Drinks,motorcycle,2.0,No,Metropolitian,26,19,4.658
28.0,4.7,Windy,Jam,1,Buffet,motorcycle,2.0,No,Urban,28,22,9.348
24.0,4.8,Sandstorms,Low,2,Snack,motorcycle,2.0,No,Metropolitian,18,22,20.831
30.0,4.9,Fog,Jam,1,Drinks,motorcycle,2.0,No,Urban,33,21,8.938
30.0,4.7,Stormy,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,33,17,16.903
24.0,4.9,Fog,Low,1,Buffet,motorcycle,2.0,No,Metropolitian,15,10,3.019
34.0,4.1,Sandstorms,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,47,18,13.989
20.0,4.7,Fog,High,1,Drinks,scooter,2.0,No,Metropolitian,25,11,3.03
31.0,4.6,Windy,Low,0,Drinks,motorcycle,2.0,No,Urban,29,23,13.184
21.0,5.0,Sandstorms,High,1,Meal,scooter,2.0,No,Metropolitian,19,14,6.243
37.0,4.6,Fog,Jam,1,Snack,scooter,2.0,No,Urban,32,21,7.631
35.0,4.9,Sandstorms,Jam,1,Drinks,motorcycle,2.0,No,Metropolitian,33,20,9.056
27.0,4.8,Windy,Medium,1,Drinks,scooter,1.0,No,Urban,16,17,12.421
21.0,4.9,Sunny,Low,2,Drinks,motorcycle,1.0,No,Urban,20,8,1.532
24.0,4.9,Cloudy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,21,23,19.688
31.0,4.9,Windy,Jam,1,Buffet,motorcycle,2.0,No,Metropolitian,31,21,4.561
24.0,4.8,Sunny,Medium,1,Drinks,motorcycle,2.0,No,Urban,11,17,19.619
39.0,3.6,Fog,Low,1,Buffet,motorcycle,2.0,No,Metropolitian,38,23,13.584
30.0,3.8,Sandstorms,Medium,1,Buffet,motorcycle,2.0,No,Metropolitian,39,18,19.363
27.0,4.6,Sandstorms,Medium,0,Drinks,motorcycle,2.0,No,Metropolitian,24,19,9.192
35.0,4.5,Windy,Low,2,Snack,scooter,2.0,No,Metropolitian,28,22,20.887
34.0,4.6,Windy,Jam,0,Buffet,motorcycle,2.0,No,Metropolitian,48,21,20.253
23.0,4.9,Sandstorms,Medium,1,Meal,scooter,2.0,No,Metropolitian,17,17,16.6
38.0,4.5,Windy,Low,2,Snack,scooter,2.0,No,Metropolitian,25,22,13.973
28.0,4.8,Fog,Jam,0,Buffet,motorcycle,2.0,No,Metropolitian,26,21,9.22
20.0,4.6,Sunny,Medium,1,Snack,motorcycle,2.0,No,Urban,11,17,9.056
35.0,4.9,Sunny,Low,2,Meal,scooter,2.0,No,Metropolitian,17,9,1.513
32.0,4.9,Stormy,Medium,2,Meal,scooter,2.0,No,Metropolitian,34,18,7.574
37.0,4.9,Fog,Low,1,Drinks,scooter,2.0,No,Metropolitian,27,22,16.66
34.0,4.9,Sunny,Medium,2,Buffet,scooter,2.0,No,Metropolitian,18,15,6.147
33.0,4.1,Fog,Jam,2,Meal,scooter,2.0,No,Urban,39,20,7.79
34.0,4.8,Sandstorms,Low,2,Drinks,scooter,1.0,No,Urban,23,10,1.553
20.0,4.2,Stormy,Low,0,Drinks,motorcycle,2.0,No,Urban,28,9,1.558
21.0,4.8,Stormy,Jam,2,Buffet,motorcycle,2.0,No,Urban,17,21,13.972
24.0,4.2,Windy,Jam,0,Buffet,motorcycle,3.0,No,Metropolitian,35,20,16.903
30.0,4.6,Cloudy,Medium,1,Snack,motorcycle,2.0,No,Metropolitian,18,16,6.129
29.0,4.8,Windy,Jam,1,Drinks,scooter,2.0,No,Urban,29,20,7.761
34.0,4.7,Windy,Jam,2,Buffet,scooter,1.0,No,Metropolitian,25,22,12.421
30.0,4.5,Sunny,Jam,1,Drinks,motorcycle,2.0,No,Metropolitian,22,20,12.353
21.0,4.9,Fog,Medium,2,Drinks,scooter,1.0,No,Metropolitian,19,18,9.326
28.0,4.7,Sunny,Low,2,Buffet,scooter,1.0,No,Urban,22,8,2.937
22.0,4.6,Sunny,Jam,0,Meal,motorcycle,2.0,No,Urban,24,21,20.443
28.0,4.9,Stormy,High,0,Meal,motorcycle,2.0,No,Urban,22,15,6.053
33.0,5.0,Sunny,Jam,2,Snack,motorcycle,1.0,No,Metropolitian,22,22,12.074
22.0,4.9,Sunny,Low,0,Meal,motorcycle,1.0,No,Metropolitian,23,23,19.363
33.0,4.5,Windy,High,2,Buffet,scooter,1.0,No,Urban,27,11,3.053
20.0,4.8,Cloudy,Low,2,Snack,scooter,1.0,No,Metropolitian,13,9,3.041
20.0,5.0,Windy,Medium,1,Drinks,scooter,2.0,No,Metropolitian,28,15,6.29
20.0,4.6,Windy,Jam,1,Buffet,motorcycle,2.0,No,Metropolitian,17,21,10.906
30.0,4.2,Sandstorms,Jam,2,Buffet,scooter,2.0,No,Urban,43,19,20.178
21.0,4.9,Sunny,Low,2,Snack,motorcycle,2.0,No,Metropolitian,20,8,1.49
37.0,3.7,Sandstorms,Jam,1,Drinks,scooter,2.0,No,Metropolitian,37,21,19.364
24.0,4.4,Sunny,Jam,0,Meal,motorcycle,2.0,No,Metropolitian,44,19,7.563
28.0,4.8,Sunny,Low,2,Meal,scooter,2.0,No,Urban,22,22,7.49
28.0,5.0,Cloudy,Jam,2,Meal,scooter,3.0,No,Metropolitian,44,22,13.788
28.0,4.6,Stormy,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,20,17,17.074
31.0,4.6,Sunny,Jam,0,Snack,motorcycle,3.0,No,Metropolitian,39,20,10.427
22.0,4.9,Sandstorms,Jam,0,Drinks,motorcycle,2.0,No,Metropolitian,26,21,12.162
29.0,4.8,Sandstorms,Medium,1,Meal,scooter,2.0,No,Metropolitian,15,19,16.721
33.0,4.7,Sunny,Medium,2,Meal,motorcycle,2.0,No,Metropolitian,26,17,10.427
22.0,4.7,Fog,Low,0,Drinks,motorcycle,2.0,No,Metropolitian,20,23,4.59
31.0,4.4,Sandstorms,Jam,0,Drinks,motorcycle,2.0,No,Urban,36,21,20.443
30.0,4.1,Fog,Jam,1,Buffet,motorcycle,2.0,No,Metropolitian,48,20,16.413
27.0,4.6,Sunny,Medium,1,Meal,scooter,1.0,No,Metropolitian,14,18,11.984
28.0,4.8,Sandstorms,Jam,2,Snack,scooter,1.0,No,Metropolitian,15,21,13.829
29.0,4.7,Sandstorms,High,2,Drinks,scooter,2.0,No,Metropolitian,32,14,6.211
30.0,4.8,Cloudy,Low,2,Buffet,scooter,2.0,No,Metropolitian,18,8,3.109
20.0,4.7,Windy,High,2,Drinks,scooter,1.0,No,Urban,13,14,6.218
23.0,4.3,Sunny,Jam,0,Drinks,motorcycle,4.0,No,Metropolitian,54,19,4.663
26.0,5.0,Cloudy,Jam,2,Snack,scooter,2.0,No,Urban,24,20,4.718
32.0,4.9,Cloudy,High,1,Meal,motorcycle,2.0,No,Metropolitian,26,11,1.558
35.0,4.4,Windy,Medium,2,Meal,scooter,2.0,No,Metropolitian,37,17,13.406
32.0,3.9,Cloudy,Low,2,Snack,scooter,2.0,No,Metropolitian,32,24,13.406
24.0,4.9,Fog,Medium,1,Drinks,scooter,2.0,No,Urban,26,17,20.206
36.0,4.7,Cloudy,Jam,0,Buffet,motorcycle,2.0,No,Metropolitian,51,21,16.114
23.0,4.9,Stormy,Medium,2,Meal,scooter,1.0,No,Metropolitian,17,18,19.976
39.0,4.7,Sandstorms,Medium,1,Snack,motorcycle,2.0,No,Metropolitian,26,15,6.211
24.0,4.7,Sandstorms,Medium,0,Drinks,motorcycle,2.0,No,Metropolitian,29,18,10.906
34.0,4.8,Sunny,High,1,Snack,motorcycle,2.0,No,Metropolitian,18,12,3.109
25.0,4.6,Cloudy,Low,0,Snack,motorcycle,1.0,No,Urban,17,22,4.657
27.0,4.4,Sunny,High,0,Buffet,motorcycle,2.0,No,Metropolitian,47,14,6.147
23.0,4.6,Windy,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,31,22,13.79
35.0,4.6,Fog,Low,0,Snack,motorcycle,1.0,No,Metropolitian,40,22,16.721
35.0,3.8,Sunny,Jam,1,Meal,motorcycle,1.0,No,Metropolitian,32,20,16.851
21.0,4.7,Cloudy,Jam,0,Buffet,motorcycle,2.0,No,Metropolitian,45,20,10.59
26.0,4.7,Windy,Jam,2,Meal,scooter,2.0,No,Metropolitian,26,19,9.121
36.0,4.9,Cloudy,Jam,0,Snack,motorcycle,2.0,Yes,Metropolitian,44,22,17.079
36.0,4.9,Windy,Low,2,Snack,motorcycle,2.0,No,Metropolitian,23,22,12.258
28.0,4.7,Sandstorms,Medium,0,Meal,motorcycle,2.0,No,Urban,29,15,6.081
27.0,4.7,Windy,High,2,Snack,scooter,2.0,No,Metropolitian,14,12,3.019
21.0,4.7,Windy,Medium,2,Drinks,scooter,1.0,No,Urban,18,17,19.916
20.0,4.1,Cloudy,Jam,1,Snack,scooter,2.0,No,Metropolitian,39,20,12.435
36.0,4.4,Stormy,Medium,0,Snack,motorcycle,2.0,No,Metropolitian,49,18,13.581
25.0,4.0,Stormy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,15,8,1.52
21.0,4.6,Windy,High,2,Drinks,scooter,2.0,No,Metropolitian,15,13,5.969
25.0,4.9,Windy,Jam,2,Drinks,scooter,2.0,No,Urban,22,22,4.561
37.0,3.5,Windy,Jam,1,Meal,motorcycle,3.0,No,Metropolitian,43,21,12.418
33.0,4.9,Sandstorms,Medium,2,Snack,scooter,1.0,No,Urban,26,18,11.008
23.0,4.7,Windy,Jam,2,Meal,scooter,1.0,No,Metropolitian,12,21,9.088
29.0,4.6,Fog,Medium,2,Drinks,scooter,1.0,No,Metropolitian,15,18,7.573
27.0,4.6,Sandstorms,Jam,1,Drinks,scooter,2.0,No,Urban,23,19,9.435
21.0,5.0,Fog,Jam,0,Buffet,motorcycle,2.0,No,Urban,20,22,9.435
28.0,4.6,Sandstorms,Medium,2,Buffet,scooter,2.0,No,Metropolitian,23,15,5.959
22.0,4.5,Sandstorms,Jam,2,Meal,motorcycle,1.0,No,Urban,21,21,7.772
27.0,5.0,Stormy,Jam,2,Snack,scooter,1.0,No,Metropolitian,23,21,16.66
26.0,4.8,Windy,Medium,1,Drinks,motorcycle,2.0,No,Metropolitian,24,17,17.078
36.0,4.3,Sandstorms,Jam,1,Buffet,motorcycle,3.0,No,Metropolitian,33,21,13.583
36.0,4.9,Fog,Jam,0,Snack,motorcycle,4.0,No,Urban,46,20,19.761
31.0,4.8,Sunny,Low,0,Buffet,motorcycle,2.0,No,Metropolitian,26,23,4.544
25.0,4.2,Windy,Jam,0,Drinks,motorcycle,2.0,No,Urban,39,22,12.073
35.0,5.0,Sunny,Jam,1,Buffet,scooter,1.0,No,Metropolitian,24,21,4.538
22.0,4.7,Sandstorms,Low,1,Buffet,scooter,2.0,No,Urban,10,23,16.413
33.0,4.9,Fog,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,33,21,9.056
35.0,4.8,Sandstorms,Low,2,Snack,scooter,1.0,No,Metropolitian,21,23,4.47
32.0,4.2,Cloudy,Medium,2,Buffet,motorcycle,2.0,No,Urban,44,18,16.151
26.0,5.0,Stormy,Medium,2,Buffet,scooter,1.0,No,Metropolitian,26,18,4.718
26.0,4.6,Cloudy,Low,1,Buffet,scooter,1.0,No,Metropolitian,23,23,12.435
24.0,4.7,Sunny,Medium,1,Snack,scooter,2.0,No,Urban,14,17,6.218
26.0,4.6,Stormy,Medium,1,Meal,scooter,2.0,No,Metropolitian,24,18,9.075
33.0,4.9,Sandstorms,Medium,2,Meal,scooter,2.0,No,Metropolitian,29,16,6.218
32.0,4.2,Sunny,Jam,1,Buffet,motorcycle,2.0,No,Metropolitian,33,20,10.907
31.0,4.1,Stormy,Low,0,Snack,motorcycle,2.0,No,Metropolitian,27,10,3.041
35.0,4.8,Cloudy,Low,1,Buffet,motorcycle,2.0,No,Metropolitian,30,22,17.137
34.0,4.8,Cloudy,Low,2,Drinks,scooter,2.0,No,Metropolitian,18,22,4.47
31.0,4.5,Fog,Low,0,Snack,motorcycle,2.0,No,Metropolitian,27,8,3.059
30.0,4.6,Fog,High,0,Buffet,motorcycle,2.0,No,Metropolitian,33,11,1.52
34.0,4.8,Sunny,Jam,0,Drinks,motorcycle,2.0,No,Metropolitian,22,20,7.647
33.0,4.7,Windy,Low,1,Buffet,scooter,2.0,No,Metropolitian,16,23,13.971
37.0,4.5,Stormy,Jam,1,Meal,scooter,1.0,No,Urban,30,20,13.583
23.0,4.6,Windy,Jam,1,Snack,scooter,2.0,No,Urban,14,21,7.79
38.0,4.7,Fog,Medium,1,Meal,scooter,2.0,No,Urban,15,16,6.242
36.0,4.6,Stormy,Low,2,Snack,scooter,1.0,No,Metropolitian,27,23,12.294
34.0,4.3,Sandstorms,Medium,2,Snack,scooter,1.0,No,Urban,33,18,7.602
20.0,5.0,Fog,Low,2,Meal,scooter,2.0,No,Metropolitian,18,10,1.573
24.0,4.1,Stormy,Jam,0,Drinks,motorcycle,2.0,No,Urban,37,20,13.407
37.0,4.6,Fog,Low,0,Buffet,motorcycle,2.0,No,Metropolitian,27,10,1.553
21.0,4.9,Cloudy,Medium,1,Meal,motorcycle,2.0,No,Metropolitian,36,18,14.153
22.0,4.8,Sunny,Jam,2,Drinks,scooter,2.0,No,Metropolitian,17,20,7.863
31.0,4.6,Sandstorms,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,47,21,8.938
32.0,4.7,Fog,Jam,2,Buffet,scooter,2.0,No,Metropolitian,26,20,7.646
25.0,5.0,Windy,Low,1,Buffet,scooter,2.0,No,Metropolitian,16,8,3.027
